SBS-Example1	DPD-Example1
chinda sotaṃ parakkamma, kāme panūda brāhmaṇa,<br/>saṅkhārānaṃ khayaṃ ñatvā, <b>akataññū</b>'si brāhmaṇa.	chinda sotaṃ parakkamma,<br/>kāme panuda brāhmaṇa,<br/>saṅkhārānaṃ khayaṃ ñatvā,<br/><b>akataññū</b>'si brāhmaṇa.
puna caparaṃ, brāhmaṇa, idh'ekacco <b>akatapāpo</b> hoti akataluddo akatakibbiso katakalyāṇo katakusalo katabhīruttāṇo. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati.	puna caparaṃ, brāhmaṇa, idh'ekacco <b>akatapāpo</b> hoti akataluddo akatakibbiso katakalyāṇo katakusalo katabhīruttāṇo. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati.
puna caparaṃ, brāhmaṇa, idh'ekacco akatakalyāṇo hoti akatakusalo <b>akatabhīruttāṇo</b> katapāpo kataluddo katakibbiso. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati.	puna caparaṃ, brāhmaṇa, idh'ekacco akatakalyāṇo hoti akatakusalo <b>akatabhīruttāṇo</b> katapāpo kataluddo katakibbiso. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati.
puna caparaṃ, brāhmaṇa, idh'ekacco akatapāpo hoti <b>akataluddo</b> akatakibbiso katakalyāṇo katakusalo katabhīruttāṇo. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati.	puna caparaṃ, brāhmaṇa, idh'ekacco akatapāpo hoti <b>akataluddo</b> akatakibbiso katakalyāṇo katakusalo katabhīruttāṇo. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati.
<b>akataṃ</b> dukkaṭaṃ seyyo, pacchā tappati dukkaṭaṃ, <br/>katañ'ca sukataṃ seyyo, yaṃ katvā n'ānutappati.	<b>akataṃ</b> dukkaṭaṃ seyyo,<br/>pacchā tappati dukkaṭaṃ,<br/>katañ'ca sukataṃ seyyo,<br/>yaṃ katvā n'ānutappati.
<b>akataṃ</b> dukkaṭaṃ seyyo, pacchā tappati dukkaṭaṃ,<br/>katañ'ca sukataṃ seyyo, yaṃ katvā n'ānutappati.	na paresaṃ vilomāni,<br/>na paresaṃ kata-<b>akataṃ</b>,<br/>attano'va avekkheyya,<br/>katāni <b>akatāni</b> ca.
santo ca bhikkhu abhinibbut'atto, iti'han'ti sīlesu <b>akatthamāno</b>,<br/>tam'ariyadhammaṃ kusalā vadanti, yass'ussadā n'atthi kuhiñci loke.	santo ca bhikkhu abhinibbut'atto,<br/>iti'han'ti sīlesu <b>akatthamāno</b>,<br/>tam'ariyadhammaṃ kusalā vadanti,<br/>yass'ussadā n'atthi kuhiñci loke.
yass'ālayā na vijjanti, aññāya <b>akathaṃkathī</b>,<br/>amat'ogadham'anuppattaṃ, tam'ahaṃ brūmi brāhmaṇaṃ.	yass'ālayā na vijjanti,<br/>aññāya <b>akathaṃkathī</b>,<br/>amat'ogadham'anuppattaṃ,<br/>tam'ahaṃ brūmi brāhmaṇaṃ.
te taṃ sarasiṃ ogāhetvā soṇḍāya bhisamuḷālaṃ abbuhetvā suvikkhālitaṃ vikkhāletvā <b>akaddamaṃ</b> saṅkhāditvā ajjhoharanti.	te taṃ sarasiṃ ogāhetvā soṇḍāya bhisamuḷālaṃ abbuhetvā suvikkhālitaṃ vikkhāletvā <b>akaddamaṃ </b>saṅkhāditvā ajjhoharanti.
tassa hi pathavito yāva <b>akaniṭṭha</b>brahmalokā nīl'ādiārammaṇaṃ samosarantaṃ paripuṇṇabhāvaṃ kātuṃ na sakkoti	no ce pañcannaṃ orambhāgiyānaṃ saṃyojanānaṃ parikkhayā sasaṅkhāraparinibbāyī hoti, atha pañcannaṃ orambhāgiyānaṃ saṃyojanānaṃ parikkhayā uddhaṃsoto hoti <b>akaniṭṭha</b>gāmī.
idha yassa te honti aniṭṭhā <b>akantā</b> amanāpā rūpā saddā gandhā rasā phoṭṭhabbā dhammā, ye vā pan'assa te honti anatthakāmā ahitakāmā aphāsukakāmā ayogakkhemakāmā	tañ'ce, āvuso, bhikkhuṃ pare aniṭṭhehi <b>akantehi</b> amanāpehi samudācaranti, pāṇisamphassena'pi leḍḍusamphassena'pi daṇḍasamphassena'pi satthasamphassena'pi.
ananucchavikaṃ, moghapurisa, ananulomikaṃ appatirūpaṃ assāmaṇakaṃ <b>akappiyaṃ</b> akaraṇīyaṃ.	kappiyaṃ te khāditabbaṃ, <b>akappiyaṃ</b> te na khāditabbaṃ, kappiyaṃ te bhuñjitabbaṃ, <b>akappiyaṃ</b> te na bhuñjitabbaṃ
vītagedho amaccharī, na ussesu vadate muni,<br/>na samesu na omesu, kappaṃ n'eti <b>akappiyo</b>.	vītagedho amaccharī,<br/>na ussesu vadate muni,<br/>na samesu na omesu,<br/>kappaṃ n'eti <b>akappiyo</b>.
idam'avoca bhagavā. attamanā te bhikkhū bhagavato bhāsitaṃ abhinandun'ti. imasmiñ'ca pana veyyākaraṇasmiṃ bhaññamāne sahassī lokadhātu <b>akampitthā</b>'ti.	idam'avoca bhagavā. attamanā te bhikkhū bhagavato bhāsitaṃ abhinandun'ti. imasmiñ'ca pana veyyākaraṇasmiṃ bhaññamāne sahassī lokadhātu <b>akampitthā</b>'ti.
ayaṃ vuccati ariyasāvako <b>akaraṇīyo</b> mārassa akaraṇīyo pāpimato'ti	pañc'imā, bhikkhave, vaṇijjā upāsakena <b>akaraṇīyā</b>. katamā pañca? satthavaṇijjā, sattavaṇijjā, maṃsavaṇijjā, majjavaṇijjā, visavaṇijjā.
yañ'hi kayirā tañ'hi vade, yaṃ na kayirā na taṃ vade. <br/><b>akarontaṃ</b> bhāsamānaṃ, parijānanti paṇḍitā.	<b>akaronto</b>'pi ce pāpaṃ,<br/>karontam'upasevati,<br/>saṅkiyo hoti pāpasmiṃ,<br/>avaṇṇo c'assa rūhati.
yato kho ariyasāvako imehi sattahi saddhammehi samannāgato hoti, imesañ'ca catunnaṃ jhānānaṃ ābhicetasikānaṃ diṭṭhadhammasukhavihārānaṃ nikāmalābhī hoti akicchalābhī <b>akasira</b>lābhī.	imesañ'ca catunnaṃ jhānānaṃ ābhicetasikānaṃ diṭṭhadhammasukhavihārānaṃ nikāmalābhī bhavissasi akicchalābhī <b>akasira</b>lābhī
yato kho ariyasāvako imehi sattahi saddhammehi samannāgato hoti, imesañ'ca catunnaṃ jhānānaṃ ābhicetasikānaṃ diṭṭhadhammasukhavihārānaṃ nikāmalābhī hoti akicchalābhī <b>akasiralābhī</b>.	imesañ'ca catunnaṃ jhānānaṃ ābhicetasikānaṃ diṭṭhadhammasukhavihārānaṃ nikāmalābhī bhavissasi akicchalābhī <b>akasiralābhī</b>
na v'āham'etaṃ tathiyan'ti brūmi, yam'āhu bālā mithu aññam'aññaṃ,<br/>sakaṃ sakaṃ diṭṭhim'<b>akaṃsu</b> saccaṃ, tasmā hi bālo'ti paraṃ dahanti.	na v'āham'etaṃ tathiyan'ti brūmi,<br/>yam'āhu bālā mithu aññam'aññaṃ,<br/>sakaṃ sakaṃ diṭṭhim'<b>akaṃsu</b> saccaṃ,<br/>tasmā hi bālo'ti paraṃ dahanti.
seyyathā'pi, ānanda, puriso daliddo assako anāḷhiko, tassa <b>akāmakassa</b> bilaṃ olaggeyyuṃ, idaṃ te, ambho purisa, maṃsañ'ca khāditabbaṃ, mūlañ'ca anuppadātabban'ti.	samaṇo khalu, bho, gotamo <b>akāmakānaṃ</b> mātāpitūnaṃ assumukhānaṃ rudantānaṃ kesamassuṃ ohāretvā kāsāyāni vatthāni acchādetvā agārasmā anagāriyaṃ pabbajito
yesaṃ bhikkhu aññataraṃ vā aññataraṃ vā āpajjitvā yāvat'īhaṃ jānaṃ paṭicchādeti tāvat'īhaṃ tena bhikkhunā, <b>akāmā</b>, parivatthabbaṃ.	yesaṃ bhikkhu aññataraṃ vā aññataraṃ vā āpajjitvā yāvat'īhaṃ jānaṃ paṭicchādeti, tāvat'īhaṃ tena bhikkhunā <b>akāmā</b> parivatthabbaṃ.
<b>akārako</b>'mhī'ti yo vādaṃ upeti so imehi dvīhi kāraṇehi vādaṃ upeti.	akārako'mhī'ti yo vādaṃ upeti so imehi dvīhi kāraṇehi vādaṃ upeti.
ṭhān'āṭhāne na saṇṭhātī'ti kāraṇa-<b>akāraṇe</b> na saṇṭhāti. tatr'āyaṃ nayo, sassatavādī yuttena kāraṇena pahoti ucchedavādiṃ niggahetuṃ	ṭhān'āṭhāne na saṇṭhātī'ti kāraṇa-<b>akāraṇe</b> na saṇṭhāti. tatr'āyaṃ nayo, sassatavādī yuttena kāraṇena pahoti ucchedavādiṃ niggahetuṃ, ucchedavādī tena niggayhamāno, kiṃ pan'āhaṃ ucchedaṃ vadāmī'ti
ekaṃ dhammaṃ atītassa, musāvādissa jantuno,<br/>vitiṇṇaparalokassa, n'atthi pāpaṃ <b>akāriyaṃ</b>.	ekaṃ dhammaṃ atītassa,<br/>musāvādissa jantuno,<br/>vitiṇṇaparalokassa,<br/>n'atthi pāpaṃ <b>akāriyaṃ</b>.
divāṭṭhāne nisinnakāle pana okāsaṃ kāretvā'va pucchantassa kathetabbo, <b>akāretvā</b> pucchantassa na kathetabbo.	divāṭṭhāne nisinnakāle pana okāsaṃ kāretvā'va pucchantassa kathetabbo, <b>akāretvā</b> pucchantassa na kathetabbo. idaṃ vattaṃ ajānitvā pucchanto paṭipadāya na saṇṭhāti nāma.
niṭṭhitacīvarasmiṃ bhikkhunā ubbhatasmiṃ kaṭhine bhikkhuno pan'eva <b>akālacīvaraṃ</b> uppajjeyya, ākaṅkhamānena bhikkhunā paṭiggahetabbaṃ paṭiggahetvā khippam'eva kāretabbaṃ.	niṭṭhitacīvarasmiṃ bhikkhunā ubbhatasmiṃ kathine bhikkhuno pan'eva <b>akālacīvaraṃ</b> uppajjeyya, ākaṅkhamānena bhikkhunā paṭiggahetabbaṃ, paṭiggahetvā khippam'eva kāretabbaṃ
samphappalāpī hoti <b>akālavādī</b> abhūtavādī anatthavādī adhammavādī avinayavādī, anidhānavatiṃ vācaṃ bhāsitā hoti akālena anapadesaṃ apariyantavatiṃ anatthasaṃhitaṃ.	evarūpo c'āyaṃ, bhikkhave, puggalo vuccati <b>akālavādī</b>'ti'pi, abhūtavādī'ti'pi, anatthavādī'ti'pi, adhammavādī'ti'pi, avinayavādī'ti'pi.
seyyathā'pi gimhānaṃ pacchime māse ūhataṃ rajojallaṃ, tam'enaṃ mahā-<b>akāla</b>megho ṭhānaso antaradhāpeti vūpasameti	seyyathā'pi, bhikkhave, gimhānaṃ pacchime māse ūhataṃ rajojallaṃ, tam'enaṃ mahā-<b>akāla</b>-megho ṭhānaso antaradhāpeti vūpasameti.
iminā tvaṃ dhammena diṭṭhena viditena <b>akālikena</b> pattena pariyogāḷhena atīt'ānāgate nayaṃ nehi 	dhamme aveccappasādena samannāgato hoti, svākkhāto bhagavatā dhammo sandiṭṭhiko <b>akāliko</b> ehipassiko opaneyyiko paccattaṃ veditabbo viññūhī'ti
samphappalāpī hoti akālavādī abhūtavādī anatthavādī adhammavādī avinayavādī, anidhānavatiṃ vācaṃ bhāsitā hoti <b>akālena</b> anapadesaṃ apariyantavatiṃ anatthasaṃhitaṃ.	kālena vakkhāmi no <b>akālena</b>, bhūtena vakkhāmi no abhūtena, saṇhena vakkhāmi no pharusena, atthasaṃhitena vakkhāmi no anatthasaṃhitena, mettacitto vakkhāmi, no dos'antaro'ti, ime pañca dhammā ajjhattaṃ upaṭṭhāpetabbā
so kho ahaṃ, bhikkhave, yo c'āyaṃ kāmavitakko yo ca byāpādavitakko yo ca vihiṃsāvitakko, imaṃ ekaṃ bhāgam'<b>akāsiṃ</b>	so'haṃ yāni ca porāṇāni iṇamūlāni tāni ca byantī <b>akāsiṃ</b>
imesañ'ca catunnaṃ jhānānaṃ ābhicetasikānaṃ diṭṭhadhammasukhavihārānaṃ nikāmalābhī hoti <b>akiccha</b>lābhī akasiralābhī.	imesañ'ca catunnaṃ jhānānaṃ ābhicetasikānaṃ diṭṭhadhamma-sukhavihārānaṃ nikāmalābhī hoti akiccha-lābhī akasiralābhī.
imesañ'ca catunnaṃ jhānānaṃ ābhicetasikānaṃ diṭṭhadhammasukhavihārānaṃ nikāmalābhī hoti <b>akicchalābhī</b> akasiralābhī.	imesañ'ca catunnaṃ jhānānaṃ ābhicetasikānaṃ diṭṭhadhammasukhavihārānaṃ nikāmalābhī bhavissasi <b>akicchalābhī</b> akasiralābhī
na c'āhaṃ brāhmaṇaṃ brūmi, yonijaṃ mattisambhavaṃ,<br/>bhovādi nāma so hoti, sace hoti sakiñcano,<br/><b>akiñcanaṃ</b> anādānaṃ, tam'ahaṃ brūmi brāhmaṇaṃ.	na c'āhaṃ brāhmaṇaṃ brūmi,<br/>yonijaṃ mattisambhavaṃ,<br/>bhovādi nāma so hoti,<br/>sace hoti sakiñcano,<br/><b>akiñcanaṃ</b> anādānaṃ,<br/>tam'ahaṃ brūmi brāhmaṇaṃ.
na brāhmaṇass'etad'<b>akiñci</b> seyyo, yadā nisedho manaso piyehi,<br/>yato yato hiṃsamano nivattati, tato tato sammati'm'eva dukkhaṃ.	na brāhmaṇass'etad'<b>akiñci</b> seyyo,<br/>yadā nisedho manaso piyehi,<br/>yato yato hiṃsamano nivattati,<br/>tato tato sammati'm'eva dukkhaṃ.
ye'pi te, bhikkhave, ahesuṃ ukkalā vassabhaññā ahetukavādā <b>akiriya</b>vādā natthikavādā	anekavihitānaṃ pāpakānaṃ akusalānaṃ dhammānaṃ <b>akiriyaṃ</b> vadāmi
ye'pi te, bhikkhave, ahesuṃ ukkalā vassabhaññā ahetukavādā <b>akiriyavādā</b> natthikavādā	ye'pi te, bhikkhave, ahesuṃ ukkalā vassabhaññā ahetukavādā <b>akiriyavādā</b> natthikavādā, te'p'ime tayo niruttipathe adhivacanapathe paññattipathe na garahitabbaṃ nappaṭikkositabbaṃ amaññiṃsu.
so tattha passeyya mahantaṃ kadalikkhandhaṃ ujuṃ navaṃ <b>akukkuka</b>jātaṃ.	so tattha passeyya mahantaṃ kadalikkhandhaṃ ujuṃ navaṃ <b>akukkuka</b>jātaṃ.
so tattha passeyya mahantaṃ kadalikkhandhaṃ ujuṃ navaṃ <b>akukkukajātaṃ</b>.	so tattha passeyya mahantaṃ kadalikkhandhaṃ ujuṃ navaṃ <b>akukkukajātaṃ</b>.
akkodhano asantāsī, avikatthī <b>akukkuco</b>,<br/>mantabhāṇī anuddhato, sa ve vācāyato muni.	akkodhano asantāsī,<br/>avikatthī <b>akukkuco</b>,<br/>mantabhāṇī anuddhato,<br/>sa ve vācāyato muni.
te tādise pūjayato, nibbute <b>akutobhaye</b>,<br/>na sakkā puññaṃ saṅkhātuṃ, im'ettam'api kenaci.	te tādise pūjayato,<br/>nibbute <b>akutobhaye</b>,<br/>na sakkā puññaṃ saṅkhātuṃ,<br/>im'ettam'api kenaci.
tañ'hi'ssa, bhikkhu, n'atthi yena jāyetha, ajāyamāno kiṃ jīyissati, ajīyamāno kiṃ mīyissati, amīyamāno kiṃ kuppissati, <b>akuppamāno</b> kissa pihessati?	tañ'hi'ssa, bhikkhu, n'atthi yena jāyetha, ajāyamāno kiṃ jīyissati, ajīyamāno kiṃ mīyissati, amīyamāno kiṃ kuppissati, <b>akuppamāno</b> kissa pihessati?
yathā'pi ruciraṃ pupphaṃ, vaṇṇavantaṃ agandhakaṃ,<br/>evaṃ subhāsitā vācā, aphalā hoti <b>akubbato</b>.	yathā'pi ruciraṃ pupphaṃ,<br/>vaṇṇavantaṃ agandhakaṃ,<br/>evaṃ subhāsitā vācā,<br/>aphalā hoti <b>akubbato</b>.
okaṃ pahāya aniketasārī, gāme <b>akubbaṃ</b> muni santhavāni, <br/>kāmehi ritto apurekkharāno, kathaṃ na viggayha janena kayirā.	pāṇimhi ce vaṇo n'āssa,<br/>hareyya pāṇinā visaṃ,<br/>n'ābbaṇaṃ visam'anveti,<br/>n'atthi pāpaṃ <b>akubbato</b>.
mamāyite passatha phandamāne, macche'va app'odake khīṇasote,<br/>etam'pi disvā amamo careyya, bhavesu āsattim'<b>akubbamāno</b>.	mamāyite passatha phandamāne,<br/>macche'va app'odake khīṇasote,<br/>etam'pi disvā amamo careyya,<br/>bhavesu āsattim'<b>akubbamāno</b>.
tayo'me, bhikkhave, <b>akusalavitakkā</b>, kāmavitakko, byāpādavitakko, vihiṃsāvitakko.	ime kho, bhikkhave, tayo <b>akusalavitakkā</b> andhakaraṇā acakkhukaraṇā aññāṇakaraṇā paññānirodhikā vighātapakkhikā anibbānasaṃvattanikā.
patilīno <b>akuhako</b>, apihālu amaccharī,<br/>appagabbho ajeguccho, pesuṇeyye ca no yuto.	patilīno <b>akuhako</b>,<br/>apihālu amaccharī,<br/>appagabbho ajeguccho,<br/>pesuṇeyye ca no yuto.
sakaṃ sakaṃ diṭṭhiparibbasānā, viggayha nānā kusalā vadanti,<br/>yo evaṃ jānāti sa vedi dhammaṃ, idaṃ paṭikkosam<b>'akevalī</b> so.	sakaṃ sakaṃ diṭṭhiparibbasānā,<br/>viggayha nānā kusalā vadanti,<br/>yo evaṃ jānāti sa vedi dhammaṃ,<br/>idaṃ paṭikkosam'<b>akevalī </b>so.
<b>akkocchi</b> maṃ avadhi maṃ, ajini maṃ ahāsi me.<br/>ye ca taṃ upanayhanti, veraṃ tesaṃ na sammati.	<b>akkocchi</b> maṃ avadhi maṃ,<br/>ajini maṃ ahāsi me,<br/>ye ca taṃ upanayhanti,<br/>veraṃ tesaṃ na sammati.
<b>akkodhena</b> jine kodhaṃ, asādhuṃ sādhunā jine,<br/>jine kadariyaṃ dānena, saccen'ālikavādinaṃ.	<b>akkodhena</b> jine kodhaṃ,<br/>asādhuṃ sādhunā jine,<br/>jine kadariyaṃ dānena,<br/>saccen'ālikavādinaṃ.
vicikiccho vā tiṇṇavicikiccho nu kho bahulaṃ viharāmi? <br/>kodhano vā <b>akkodhano</b> nu kho bahulaṃ viharāmi? <br/>saṃkiliṭṭhacitto vā asaṃkiliṭṭhacitto nu kho bahulaṃ viharāmi?	vicikiccho nu kho bahulaṃ viharāmi, tiṇṇavicikiccho nu kho bahulaṃ viharāmi, kodhano nu kho bahulaṃ viharāmi, <b>akkodhano</b> nu kho bahulaṃ viharāmi
sace taṃ, puṇṇa, sunāparantakā manussā <b>akkosissanti</b> paribhāsissanti, tatra te, puṇṇa, kin'ti bhavissatī'ti?	kupito anattamano yena bhagavā ten'upasaṅkami, upasaṅkamitvā bhagavantaṃ asabbhāhi pharusāhi vācāhi <b>akkosati</b> paribhāsati.
seyyathā'pi, bhikkhave, issāso vā issās'antevāsī vā tiṇapurisarūpake vā mattikāpuñje vā yoggaṃ karitvā, so aparena samayena dūrepātī ca hoti <b>akkhaṇavedhī</b> ca mahato ca kāyassa padāletā.	seyyathāpi, bhikkhave, issāso vā issās'antevāsī vā tiṇapurisarūpake vā mattikāpuñje vā yoggaṃ karitvā, so aparena samayena dūrepātī ca hoti <b>akkhaṇavedhī</b> ca mahato ca kāyassa padāletā.
seyyathā'pi, bhikkhave, issāso vā issās'antevāsī vā tiṇapurisarūpake vā mattikāpuñje vā yoggaṃ karitvā, so aparena samayena dūrepātī ca hoti <b>akkhaṇa</b>vedhī ca mahato ca kāyassa padāletā.	seyyathāpi, bhikkhave, issāso vā issās'antevāsī vā tiṇapurisarūpake vā mattikāpuñje vā yoggaṃ karitvā, so aparena samayena dūrepātī ca hoti <b>akkhaṇa</b>vedhī ca mahato ca kāyassa padāletā.
appamattako so, bhikkhave, kaṭaggaho yaṃ so <b>akkhadhutto</b> paṭhamen'eva kaṭaggahena mahantaṃ bhogakkhandhaṃ adhigaccheyya. 	itthidhutto surādhutto,<br/><b>akkhadhutto</b> ca yo naro,<br/>laddhaṃ laddhaṃ vināseti,<br/>taṃ parābhavato mukhaṃ.
idha, bhikkhave, bhikkhu <b>akkhamo</b> hoti rūpānaṃ, <b>akkhamo</b> saddānaṃ, <b>akkhamo</b> gandhānaṃ, <b>akkhamo</b> rasānaṃ, <b>akkhamo</b> phoṭṭhabbānaṃ.	idha, bhikkhave, bhikkhu <b>akkhamo</b> hoti rūpānaṃ, <b>akkhamo</b> saddānaṃ, <b>akkhamo</b> gandhānaṃ, <b>akkhamo</b> rasānaṃ, <b>akkhamo</b> phoṭṭhabbānaṃ.
vītataṇho anādāno, niruttipadakovido,<br/><b>akkharānaṃ</b> sannipātaṃ, jaññā pubb'āparāni ca,<br/>sa ve antimasārīro mahāpañño, mahāpuriso'ti vuccati.	yāni ca tīṇi yāni ca saṭṭhi,<br/>samaṇappavādasitāni bhūripañña,<br/>saññ'<b>akkhara</b>saññanissitāni,<br/>osaraṇāni vineyya oghatam'agā.
et'ādis'āyaṃ santāno, māy'āyaṃ bālalāpinī, <br/>vadhako esa <b>akkhāto</b>, sāro ettha na vijjati.	etañ'hi tumhe paṭipannā,<br/>dukkhass'antaṃ karissatha,<br/><b>akkhāto</b> vo mayā maggo,<br/>aññāya sallakantanaṃ.
jhāyīh'ete, bhikkhave, samāpattikusalehi samāpattivuṭṭhānakusalehi samāpajjitvā vuṭṭhahitvā sammā <b>akkhātabbānī</b>'ti vadāmī'ti.	jhāyīh'ete, bhikkhave, samāpattikusalehi samāpattivuṭṭhānakusalehi samāpajjitvā vuṭṭhahitvā sammā <b>akkhātabbānī</b>'ti vadāmī'ti.
tumhehi kiccam'ātappaṃ, <b>akkhātāro</b> tathāgatā,<br/>paṭipannā pamokkhanti, jhāyino mārabandhanā.	tumhehi kiccam'ātappaṃ,<br/><b>akkhātāro</b> tathāgatā,<br/>paṭipannā pamokkhanti,<br/>jhāyino mārabandhanā.
tvañ'ca me dhammam'<b>akkhāhi</b>, taṇhānigghātanaṃ muni,<br/>yaṃ viditvā sato caraṃ, tare loke visattikaṃ.	tvañ'ca me dhammam'<b>akkhāhi</b>,<br/>taṇhānigghātanaṃ muni,<br/>yaṃ viditvā sato caraṃ,<br/>tare loke visattikaṃ.
chandaparisuddhi, utu'<b>kkhānaṃ</b>, bhikkhugaṇanā ca, ovādo  uposathassa etāni pubbakiccan'ti vuccati.	chandaparisuddhi, utu-<b>akkhānaṃ</b>, bhikkhugaṇanā ca, ovādo, uposathassa etāni, pubbakiccan'ti vuccati.
pasaṃsito vā pana tattha hoti, <b>akkhāya</b> vādaṃ parisāya majjhe,<br/>so hassatī uṇṇamatī ca tena, pappuyya tam'atthaṃ yathā mano ahu.	pasaṃsito vā pana tattha hoti,<br/><b>akkhāya</b> vādaṃ parisāya majjhe,<br/>so hassatī uṇṇamatī ca tena,<br/>pappuyya tam'atthaṃ yathā mano ahu.
seyyathā'pi bhikkhave ye keci pupphagandhā vassikaṃ tesaṃ aggam'<b>akkhāyati</b>	seyyathā'pi bhikkhave ye keci pupphagandhā vassikaṃ tesaṃ aggam'<b>akkhāyati</b>
itthikathaṃ sūrakathaṃ visikhākathaṃ kumbhaṭṭhānakathaṃ pubbapetakathaṃ nānattakathaṃ lok'<b>akkhāyikaṃ</b> samudd'akkhāyikaṃ iti'bhav'ābhavakathaṃ	nigamakathaṃ nagarakathaṃ janapadakathaṃ itthikathaṃ sūrakathaṃ visikhākathaṃ kumbhaṭṭhānakathaṃ pubbapetakathaṃ nānattakathaṃ lok'<b>akkhāyikaṃ</b> samudd'<b>akkhāyikaṃ </b>itibhav'ābhavakathaṃ iti vāti
